2023-10-15 21:40:18,800 INFO    StreamThr :1120585 [internal.py:wandb_internal():86] W&B internal server running at pid: 1120585, started at: 2023-10-15 21:40:18.800090
2023-10-15 21:40:18,801 DEBUG   HandlerThread:1120585 [handler.py:handle_request():146] handle_request: status
2023-10-15 21:40:18,804 INFO    WriterThread:1120585 [datastore.py:open_for_write():85] open: /home/bruno/xfang/code/wandb/run-20231015_214018-nifkv4qh/run-nifkv4qh.wandb
2023-10-15 21:40:18,804 DEBUG   SenderThread:1120585 [sender.py:send():380] send: header
2023-10-15 21:40:18,826 DEBUG   SenderThread:1120585 [sender.py:send():380] send: run
2023-10-15 21:40:19,068 INFO    SenderThread:1120585 [dir_watcher.py:__init__():211] watching files in: /home/bruno/xfang/code/wandb/run-20231015_214018-nifkv4qh/files
2023-10-15 21:40:19,068 INFO    SenderThread:1120585 [sender.py:_start_run_threads():1122] run started: nifkv4qh with start time 1697420418.800284
2023-10-15 21:40:19,077 DEBUG   HandlerThread:1120585 [handler.py:handle_request():146] handle_request: check_version
2023-10-15 21:40:19,077 DEBUG   SenderThread:1120585 [sender.py:send_request():407] send_request: check_version
2023-10-15 21:40:19,145 DEBUG   HandlerThread:1120585 [handler.py:handle_request():146] handle_request: run_start
2023-10-15 21:40:19,148 DEBUG   HandlerThread:1120585 [system_info.py:__init__():32] System info init
2023-10-15 21:40:19,149 DEBUG   HandlerThread:1120585 [system_info.py:__init__():47] System info init done
2023-10-15 21:40:19,149 INFO    HandlerThread:1120585 [system_monitor.py:start():194] Starting system monitor
2023-10-15 21:40:19,149 INFO    SystemMonitor:1120585 [system_monitor.py:_start():158] Starting system asset monitoring threads
2023-10-15 21:40:19,149 INFO    HandlerThread:1120585 [system_monitor.py:probe():214] Collecting system info
2023-10-15 21:40:19,149 INFO    SystemMonitor:1120585 [interfaces.py:start():190] Started cpu monitoring
2023-10-15 21:40:19,150 INFO    SystemMonitor:1120585 [interfaces.py:start():190] Started disk monitoring
2023-10-15 21:40:19,150 INFO    SystemMonitor:1120585 [interfaces.py:start():190] Started gpu monitoring
2023-10-15 21:40:19,151 INFO    SystemMonitor:1120585 [interfaces.py:start():190] Started memory monitoring
2023-10-15 21:40:19,151 INFO    SystemMonitor:1120585 [interfaces.py:start():190] Started network monitoring
2023-10-15 21:40:19,176 DEBUG   HandlerThread:1120585 [system_info.py:probe():196] Probing system
2023-10-15 21:40:19,180 DEBUG   HandlerThread:1120585 [system_info.py:_probe_git():181] Probing git
2023-10-15 21:40:19,198 DEBUG   HandlerThread:1120585 [system_info.py:_probe_git():189] Probing git done
2023-10-15 21:40:19,198 DEBUG   HandlerThread:1120585 [system_info.py:probe():244] Probing system done
